Date,Titel,Attendance
2009-10-21,Dorfpunks,59
2009-10-27,Slumdog Millionär,162
2009-10-28,O'Horten,45
2009-11-03,Die rechte und die linke Hand des Teufels,38
2009-11-04,The Limits of Control,48
2009-11-10,Home,31
2009-11-11,Mitte Ende August,45
2009-11-17,Kleine Verbrechen,41
2009-11-18,Gran Torino,120
2009-11-24,Sens Interdits,14
2009-11-25,Garage,20
2009-12-01,El bano del Papa,22
2009-12-02,Die Eisbombe,26
2009-12-08,Gigante,33
2009-12-09,Bienvenue chez les Ch'tis,66
2009-12-15,Inglourious Basterds,259
2009-12-16,The Lion King,118
2010-01-05,Dream Boy,17
2010-01-06,Captain Abu Raed,21
2010-01-12,The Pervert's Guide to Cinema,41
2010-01-13,Radio Rock Revolution,65
2010-01-19,Short Cut to Hollywood,18
2010-01-20,Alice's Restaurant,23
2010-01-26,Das Herz von Jenin,37
2008-01-27,Woodstock (DC),28
2010-02-03,Taking Woodstock,88
2010-02-10,Nacht der Helden: Flash Gordon / Batman hält …,56
2010-02-17,Princess,9
