Date,Titel,Attendance
2019-10-29,Rocketman,93
2019-10-30,Absolute Giganten,7
2019-10-31,Tanz der Teufel 2,52
2019-11-05,Meisterdetektiv Pikachu,93
2019-11-06,Chris the Swiss,7
2019-11-07,The Villainess,21
2019-11-12,10 Milliarden,42
2019-11-13,Sytemsprenger,451
2019-11-14,One Cut of the Dead,40
2019-11-19,The Hate U Give,86
2019-11-20,Ghost in the Shell,60
2019-11-21,Free Solo,54
2019-11-26,Lord of the Toys,85
2019-11-27,Der schwarze Engel,5
2019-11-28,Five Fingers for Marseilles,9
2019-12-03,More than Honey,31
2019-12-04,Laurence Always,14
2019-12-05,Das schönste Mädchen der Welt,14
2019-12-10,The Broken Circle,13
2019-12-11,They Shall Not Grow Old,56
2019-12-17,Mr. Nobody,20
2019-12-18,Boy and the World,9
