Date,Titel,Attendance
2023-10-24 00:00:00,Dungeons & Dragons,51
2023-10-26 00:00:00,The Conjuring,56
2023-10-31 00:00:00,The Exorcist,10
2023-11-02 00:00:00,Morgen irgendwo am Meer,11
2023-11-07 00:00:00,Close,6
2023-11-08 00:00:00,Passagiere der Nacht,5
2023-11-14 00:00:00,Der Club der toten Dichter,30
2023-11-15 00:00:00,Roter Himmel,7
2023-11-21 00:00:00,Mona Lisa and the Blood Moon,6
2023-11-22 00:00:00,Der Gott des Gemetzels,18
2023-11-28 00:00:00,I Origins (Sneak),0
2023-11-29 00:00:00,All the Beauty and the Bloodshed,8
2023-12-05 00:00:00,Barbie,124
2023-12-06 00:00:00,Oppenheimer,28
2023-12-12 00:00:00,The Whale,12
2023-12-13 00:00:00,How to Blow Up a Pipeline,11
2023-12-19 00:00:00,Talk to Me,7
2023-12-20 00:00:00,Come and See,11
2023-01-09 00:00:00,Past Lives,30
2023-01-10 00:00:00,Jeder schreibt für sich allein,5
2023-01-11 00:00:00,Monsieur Claude und seine Töchter,2
2023-01-16 00:00:00,Weathering With You,61
2023-01-17 00:00:00,Chungking Express,0
2023-01-18 00:00:00,The Matrix (Sneak),0
2023-01-23 00:00:00,Fallen Angels,16
2023-01-24 00:00:00,Nina Wu,9
2023-01-30 00:00:00,Broker,6
2023-01-31 00:00:00,Mishima,20
2023-02-06 00:00:00,Das Lehrerzimmer,16
2023-02-07 00:00:00,Beau is Afraid,4
2023-02-13 00:00:00,Sick of Myself,2
2023-02-14 00:00:00,Joy Ride,2
