Date,Titel,Attendance
2011-04-12,R.E.D.,63
2011-04-13,Der kleine Nick,46
2011-04-19,We want Sex,46
2011-04-20,22 Bullets,29
2011-04-26,The Road,22
2011-04-27,The Social Network,216
2011-05-03,Mein Glück,28
2011-07-13,This Prison where I live,10
2011-05-10,Nowhere Boy,50
2011-05-11,Summer Wars,63
2011-05-17,Blow Up,47
2011-05-18,Mary & Max,54
2011-05-24,Lost Children,44
2011-05-25,Schwerkraft,15
2011-05-31,Von Menschen und Göttern,26
2011-06-01,True Grit,44
2011-06-07,Männer al Dente,65
2011-06-08,Elly …,9
2011-06-21,Plug & Pray,6
2011-06-22,In einer besseren Welt,22
2011-06-28,Black Swan,122
2011-06-29,Das Labyrinth der Wörter,61
2011-07-05,Schmetterling und Taucherglocke,23
2011-07-06,Tucker & Dale vs. Evil,112
2011-07-12,Zug des Lebens,22
2011-05-09,Kyatapirâ,35
2011-05-12,Hotaru no haka,51
2011-05-16,Food Inc.,30
