Date,Titel,Attendance
2006-10-18,Elementarteilchen,117
2006-10-24,Match Point,110
2006-10-25,"Good night, and good luck",107
2006-10-31,Fahrstuhl des Grauens,32
2006-11-07,War Photographer,87
2006-11-08,Mendy - Das Wusical,77
2006-11-14,Checkpoint,49
2006-11-15,Der Tintenfisch und der Wal,33
2006-11-21,Fish and Elephant,17
2006-11-22,Die Bluthochzeit,31
2006-11-28,Grande École,37
2006-11-29,Kurzfilme,72
2006-12-05,Die Mitte,20
2006-12-06,Garden State,53
2006-12-12,Workingman's Death,57
2006-12-13,Walk the Line,196
2006-12-19,Das Leben der Anderen,133
2006-12-20,Underground,21
2007-01-09,Bye Bye Berlusconi!,101
2007-01-10,Noi Albinoi,60
2007-01-16,Esmas Geheimnis,31
2007-01-17,Sex in Brno,34
2007-01-23,Sympathy for Mr.Vengeance + Oldboy,43
2007-01-24,Bin Jip,93
2007-01-30,We feed the world,205
2007-01-31,Stay,70
2007-02-06,Das wandelnde Schloß,28
2007-02-07,Private,9
2007-02-13,Volver,108
2007-02-14,Harold & Maude,60
