Date,Titel,Attendance
2006-04-19,Keine Lieder über Liebe,80
2006-04-25,Crash,104
2006-04-26,Little Shop of Horrors,46
2006-05-02,Flame,18
2006-05-03,Shopgirl,26
2006-05-09,Spartacus,9
2006-05-10,Mongolian Ping Pong,39
2006-05-17,Dear Wendy,46
2006-05-23,Paradise Now*,15
2006-05-24,Hallesche Kometen,15
2006-05-30,Der Löwe im Winter,6
2006-05-31,Die Stadt der verlorenen Kinder,13
2006-06-13,Die drei ??? und der seltsame Wecker,87
2006-06-14,Casablanca,16
2006-06-20,Moi et mon blanc,30
2006-06-21,Ray,16
2006-06-27,Die Tiefseetaucher,19
2006-06-28,Aaltra,45
2006-07-04,Aimée & Jaguar,5
2006-07-05,Dr. Seltsam,25
2006-07-11,Thirteen Days,20
2006-07-12,Populärmusik aus Vittula,45
2006-07-18,Transamerica,61
2006-07-19,Swimming Pool,22
2006-07-25,Underexposure,21
2006-07-26,Chihiros Reise ins Zauberland,17
