Date,Titel,Attendance
2007-04-11,Borat,68
2007-04-17,Das Parfum,112
2007-04-18,Thank you for smoking,63
2007-04-24,Eine unbequeme Wahrheit,153
2007-04-25,Der Tiger und der Schnee,47
2007-05-02,Ein Freund von mir,124
2007-05-08,Kukushka,64
2007-05-09,Lichter der Vorstadt,35
2007-05-15,Fremde Haut,22
2007-05-16,Der die Tollkirsche ausgräbt & Nach 5 im Urwald,27
2007-05-22,Skinhead Attitude,18
2007-05-23,Adams Äpfel,65
2007-06-05,Layer Cake,13
2007-06-06,Requiem,8
2007-06-12,Bamako,43
2007-06-13,Babel,124
2007-06-19,Auberge Espagnole 1+2,127
2007-06-20,Der Lebensversicherer,16
2007-06-26,Uzak,15
2007-06-27,Barbarella,15
2007-07-04,Kontroll,12
2007-07-11,Yossi & Jagger,20
2007-07-18,L'Enfant,8
