Date,Titel,Attendance
2005-10-25,Herr Lehmann,73
2005-10-27,Die Fetten Jahre sind vorbei,77
2005-11-02,Per Anhalter durch die Galaxis,122
2005-11-08,Hotel Ruanda,132
2005-11-09,City of God,93
2005-11-15,Before Sunrise,116
2005-11-16,Before Sunset,88
2005-11-22,It's in the water,15
2005-11-23,Requiem for a dream,94
2005-11-29,Im Westen nichts Neues,61
2005-11-30,Jonny Vang,29
2005-12-07,Alles auf Zucker,58
2005-12-13,Long Walk Home,40
2005-12-14,Zimt und Koriander,102
2005-12-21,Grüne Tomaten,37
2006-01-11,Schwarze Katze - weißer Kater,67
2006-01-17,No Man's Land,67
2006-01-18,Broken Flowers,123
2006-01-25,One day in Europe,142
2006-02-01,Die Blechtrommel,61
2006-02-07,Der neunte Tag,34
2006-02-08,Frida,81
2006-02-14,Elizabeth,15
2006-02-15,Die Bettlektüre,29
2006-02-21,21 Gramm,21
2006-02-22,Das Mädchen mit dem Perlenohrring,92
