Date,Titel,Attendance
2011-10-12,Ich - Einfach unverbesserlich,81
2011-10-18,Wer ist Hanna?,80
2011-10-19,Four Lions,51
2011-10-25,From Beginning to End,18
2011-10-26,Joschka und Herr Fischer,107
2011-11-02,The King's Speech,180
2011-11-08,The Bang Bang Club,67
2011-11-09,Der Albaner,20
2011-11-15,"Au revoir, Taipeh",23
2011-11-16,Der Name der Leute,58
2011-11-22,Angst essen Seele auf,9
2011-11-23,Paper Man,26
2011-11-29,Unter Kontrolle,14
2011-11-30,Almanya - Willkommen in Deutschland,66
2011-12-06,Burke und Hare,32
2011-12-07,Belgrad Radio Taxi,20
2011-12-13,Roller Girl,19
2011-12-14,Alles koscher!,43
2011-12-20,Die Kinder der Seidenstraße,19
2011-12-21,The Tree of Life,56
2012-01-10,Der Dieb des Lichts,11
2012-01-11,Toast,33
2012-01-17,White Box,4
2012-01-18,The Guard,78
2012-01-24,Wasser für die Elefanten,104
2012-01-25,Polnische Ostern,16
2012-01-31,Wir schaffen das schon,12
2012-02-07,In der Welt habt ihr Angst,22
