Date,Titel,Attendance
2009-04-21,Der Baader-Meinhof-Komplex,89
2009-04-22,Jugend ohne Jugend,17
2009-04-28,Frauenreferat: Das Fremde in Mir,43
2009-04-29,Vicky Cristina Barcelona,111
2009-05-05,Schwulenreferat: The Times of Harvey Milk,34
2009-05-06,Ich habe den englischen König bedient,13
2009-05-12,Israelwoche: Alles für meinen Vater,37
2009-05-13,Israelwoche: Waltz with Bashir,87
2009-05-19,The Acid House,28
2009-05-20,Across the Universe,24
2009-05-26,Afrika Fokus: Tsotsi,50
2009-05-27,Robert Zimmermann wundert sich über die Liebe,74
2009-06-09,Frost / Nixon,69
2009-06-10,Berlin Calling,35
2009-06-16,The Breakfast Club,33
2009-06-17,Der Sohn von Rambow,20
2009-06-23,Polarkreis: So finster die Nacht,40
2009-06-24,The Curious Case of Benjamin Button,83
2009-06-30,Finnischer Tango,7
2009-07-01,Polarkreis: Die Kunst des negativen Denkens,51
2009-07-07,Schotter wie Heu,14
2009-07-08,Künstlerwoche & Polarkr.: Drawing Restraint 9,13
2009-07-14,It’s a free World,11
2009-07-15,Polarkreis: Anderland,12
2009-07-21,Tage und Wolken,6
2009-07-22,Polarkreis: Into the Wild,42
