Date,Titel,Attendance
2013-04-16,Argo,66
2013-04-17,Deutsche Kurzfilmpreis-Auswahl,10
2013-04-23,Moderne Zeiten,12
2013-04-24,7 Psychos,47
2013-04-30,Helen,5
2013-05-07,Robot and Frank,29
2013-05-08,Der Hobbit - Eine unerwartete Reise,104
2013-05-14,Hanna Arendt,140
2013-05-15,The Angels' Share,13
2013-05-28,Inuk,3
2013-05-29,Pulp Fiction,59
2013-06-04,Django Unchained,87
2013-06-05,Süßes Gift - Hilfe als Geschäft,12
2013-06-11,Yossi,3
2013-06-12,The Master,25
2013-06-18,Beasts of the Southern Wild,14
2013-06-19,Die Haut in der ich wohne,15
2013-06-25,Drachenmädchen,29
2013-06-26,Cloud Atlas,84
2013-07-02,XXY,21
2013-07-03,Monsieur Lazhar,22
2013-07-09,Frankenweenie,48
2013-07-10,Invasion,3
2013-07-16,Speed - Auf der Suche nach der verlorenen Zeit,13
2013-07-17,Die Farbe,18
