Date,Titel,Attendance
2013-10-09,3 Zimmer / Küche / Bad,2
2013-10-15,Oh Boy,72
2013-10-16,Der Große Gatsby,142
2013-10-22,Zero Dark Thirty,56
2013-10-23,Der Tag wird kommen,9
2013-10-29,Mademoiselle Populaire,13
2013-10-30,Berberian Sound Studio,13
2013-11-05,Wir wollten aufs Meer,1
2013-11-06,Das Leben ist nichts für Feiglinge,32
2013-11-12,Promised Land,18
2013-11-13,Hitchcock,45
2013-11-19,5 Jahre Leben,2
2013-11-20,Brazil,18
2013-11-26,Ginger & Rosa,20
2013-11-27,Camp 14 – Total Control Zone,22
2013-12-03,The Legend of Kaspar Hauser,5
2013-12-04,Elysium,67
2013-12-10,Darwins Alptraum,34
2013-12-11,The Grandmaster,15
2013-12-17,Die Kunst sich die Schuhe zu binden,15
2013-12-18,Albert Nobbs,1
2014-01-07,Ich - Einfach Unverbesserlich 2,63
2014-01-08,An ihrer Stelle,1
2014-01-14,Am Ende eines viel zu kurzen Tages,21
2014-01-15,Frances Ha,5
2014-01-21,Drecksau,24
2014-01-22,Prince Avalanche,17
2014-01-28,No Place on Earth,27
2014-01-29,Paulette,38
2014-02-04,Bastard,3
2014-02-05,Die Unfassbaren – Now you see me,25
2014-02-11,Fliegende Liebende,18
2014-02-12,Feuchtgebiete,26
