Date,Titel,Attendance
2017-10-17,Lion,49
2017-10-18,Silence,37
2017-10-24,Hell or High Water,27
2017-10-25,Der Schamane und die Schlange,21
2017-10-31,The Evil Dead,33
2017-11-07,Gozilla (1954),38
2017-11-07,Shin Godzilla,38
2017-11-08,Koe no Katachi,102
2017-11-14,Metropolis,53
2017-11-15,Die andere Seite der Hoffnung,22
2017-11-21,I Am Not Your Negro,32
2017-11-22,Get Out,80
2017-11-28,Pleasantville,58
2017-11-29,Philadelphia,23
2017-12-05,Marketa Lazarová,13
2017-12-06,Asterix-Operation Hinkelstein,24
2017-12-12,I Am Not a Serial Killer,19
2017-12-13,Coherence,7
2016-12-14,Man for a Day,7
2017-12-19,Wilde Maus,25
2017-12-20,Mein Leben als Zucchini,7
2018-01-09,La isla Minima,5
2018-01-10,Logan,50
2018-01-16,Dark Blood,8
2018-01-17,Waking Life,16
2017-01-18,Mapplethorpe,6
2018-01-24,In This Corner of the World,61
2018-01-25,Zwischen den Stühlen,75
2018-01-30,Dunkirk,119
2018-01-31,Paths of Glory,8
2018-02-06,Baby Driver,57
2018-02-07,Headshot,8
