Date,Titel,Attendance
2015-10-20,American History X,15
2015-10-27,Frau Müller muss weg,47
2015-11-03,Kingsman,29
2015-11-10,Heil,33
2015-11-11,Violette,7
2015-11-17,Frank,37
2015-11-24,"Ich seh, ich seh",18
2015-11-25,Blade Runner,37
2015-12-01,Big Eyes,32
2015-12-08,Von Caligari zu Hitler,28
2015-12-15,Peter Pan,50
2016-01-05,Whiplash,34
2016-01-12,Er ist wieder da,313
2016-01-13,Butterfly Effect,32
2016-01-19,Réalité,12
2016-01-26,Eine deutsche Jugend,13
2016-01-27,Still the Water,22
2016-02-02,The Voices durften wir umsonst zeigen,19
2016-02-09,La Haine,2
2016-02-16,About a Girl,12
