Date,Titel,Attendance
2017-04-18,Swiss Army Man,24
2017-04-19,Die Physiker,36
2017-04-25,Phantastische Tierwesen und wo sie zu finden sind,163
2017-04-26,A Girl walks home alone at night,18
2017-05-02,Trumbo,45
2017-05-03,Lowlife Love,24
2017-05-09,The Accountant,27
2017-05-10,Der Nachtmahr,30
2017-05-16,Paterson?,27
2017-05-17,der die zeichen liest,13
2017-05-23,Die Taschendiebin,44
2017-05-24,Nebel im August ,9
2017-05-30,April und die aussergewöhnliche Welt,17
2017-05-31,The Fall,16
2017-06-13,Arrival,48
2017-06-14,Safari,0
2017-06-20,Green Room,9
2017-06-21,The Tribe,6
2017-06-27,Star Wars Rogue One,65
2017-06-28,Schneider vs. Bax,10
2017-07-04,La La Land,164
2017-07-05,Ein Amerikaner in Paris,9
2017-07-06,Seefeuer,21
2017-07-11,Anomalisa,26
2017-07-12,Moonlight,76
2017-07-18,The Red Turtle,37
2017-07-19,Everybody wants some!,10
