Date,Titel,Attendance
2022-10-25 00:00:00,The Batman,21
2022-10-26 00:00:00,The Innocents,14
2022-11-02 00:00:00,Revolution of Our Times,30
2022-11-08 00:00:00,The Worst Person in the World,16
2022-11-15 00:00:00,Elvis,34
2022-11-16 00:00:00,Moulin Rouge!,39
2022-11-22 00:00:00,River,10
2022-11-23 00:00:00,C'mon C'mon,8
2022-11-29 00:00:00,The Unbearable Weight of Massive Talent,7
2022-11-30 00:00:00,Dogville,7
2022-12-06 00:00:00,Das Ereignis,6
2022-12-07 00:00:00,Moneyboys,3
2022-12-08 00:00:00,Die Odyssee,0
2022-12-13 00:00:00,The Electrical Life of Louis Wain,10
2022-12-14 00:00:00,"Das Licht, aus dem die Träume sind",4
2023-01-10 00:00:00,Everything Everywhere All At Once,68
2023-01-11 00:00:00,Tiger & Dragon,0
2023-01-12 00:00:00,Blutsauger,12
2023-01-17 00:00:00,Rabiye Kurnaz vs. George W. Bush,3
2023-01-18 00:00:00,Der beste Film aller Zeiten,1
2023-01-19 00:00:00,Vertigo,10
2023-01-24 00:00:00,Tomorrow - Die Welt ist voller Lösungen,9
2023-01-25 00:00:00,The Other Side of the River,8
2023-01-26 00:00:00,Top Gun: Maverick,2
2023-01-31 00:00:00,Wo in Paris die Sonne aufgeht,4
2023-02-01 00:00:00,Triangle of Sadness,30
2023-02-02 00:00:00,Red Rocket,9
2023-02-07 00:00:00,Vortex,2
2023-02-08 00:00:00,Men,13
