Date,Titel,Attendance
2005-04-26,Kleine schmutzige Tricks,67
2005-04-27,Mathilde - Eine große Liebe,198
2005-05-03,Just a kiss,73
2005-05-04,Before Night Falls,63
2005-05-10,Die Geschichte vom weinenden Kamel,109
2005-05-11,Schau mich an!,38
2005-05-24,Mir zeynen do!,20
2005-05-25,Außer Atem,7
2005-05-31,My Architect,39
2005-06-01,Tricks,29
2005-06-08,Der Schmetterling,43
2005-06-14,Mambo Italiano,51
2005-06-15,Coffee & Cigarettes,140
2005-06-29,Am achten Tag,21
2005-07-06,Status Yo!,29
2005-07-13,Sexy Beast,9
2005-07-20,Uzumaki,34
2005-07-26,Lichter,25
2005-07-27,Mystic River,14
2005-06-20,Jalla! Jalla!,17
2005-06-21,Der Mann ohne Vergangenheit,32
2005-06-22,Kitchen Stories,58
2005-06-23,Zusammen,15
2005-06-24,Das Fest,9
