Date,Titel,Attendance
2010-04-13,(500) Days of Summer,75
2010-04-14,Das weiße Band,87
2010-04-20,Liebeslied,40
2010-04-21,Louise Hires A Contract Killer,51
2010-04-27,Let's Make Money,73
2010-04-28,Résiste – Aufstand der Praktikanten,18
2010-05-04,Stille Hochzeit - Zum Teufel mit Stalin!,34
2010-05-05,It Might Get Loud,48
2010-05-11,Klassiker: Alice In Wonderland 1951 *,111
2010-05-12,Love Exposure,36
2010-05-18,Die Anwälte - Eine deutsche Geschichte,111
2010-05-19,Big Fish *,67
2010-06-01,Verfolgt,15
2010-06-02,"Männer, die auf Ziegen starren",129
2010-06-08,Afrikawoche: In My Country,33
2010-06-09,Nord,14
2010-06-15,Klassiker: Das Cabinet des Dr. Caligari *,10
2010-06-16,The Imaginarium Of Doctor Parnassus *,110
2010-06-22,The Art Of Being Straight,22
2010-06-23,Tulpan,2
2010-06-29,Dust (engl),9
2010-06-30,Alice In Wonderland 2010 *,140
2010-07-06,Mr. Magoriums Wunderladen *,14
2010-07-14,The Age Of Stupid,21
