Date,Titel,Attendance
2018-04-10,Kingsman 2,87
2018-04-11,Ferris Bueller's Day off,16
2018-04-17,Teheren Tabu,17
2018-04-18,Detroit,9
2018-04-24,It,102
2018-04-25,The Square,30
2018-04-26,Badlands,3
2018-05-02,Hausu,39
2018-05-08,Birdboy,43
2018-05-09,Wild,3
2018-05-10,The Big Sick,11
2018-05-15,Blade Runner 2049,101
2018-05-16,Freeheld,13
2018-05-29,Mother!,34
2018-05-30,Hero,11
2018-06-05,Your Name,93
2018-06-06,Aus dem Nichts,39
2018-06-07,Dheepan,12
2018-06-12,Blackploitation DF,19
2018-06-13,The Killing of a sacred deer,32
2018-06-14,Weit.,56
2018-06-19,Lady Bird,65
2018-06-20,Die Vierhändige,3
2018-06-26,Loving Vincent,112
2018-06-27,"I, Tonya",29
2018-07-03,Three Billboards,61
2018-07-04,Call me by your name,119
2018-07-10,Shape of water,64
2018-07-11,The Florida Project,39
