,OG_Title,TMDB_Title,Release_Date,Rating,Genre,Budget,Runtime,Original_Language,MovieAge,Semester,Weekday,Date,Attendance
36,Die Legende der Prinzessin Kaguya,The Tale of The Princess Kaguya,2013-11-23,8.08,"['Animation', 'Drama', 'Fantasy']",49300000.0,137.0,ja,578 days,Sommersemester 15,Wednesday,2015-06-24,93
37,Into the woods,Into the Woods,2014-12-24,5.8,"['Fantasy', 'Comedy']",50000000.0,125.0,en,188 days,Sommersemester 15,Tuesday,2015-06-30,50
38,Birdman,Birdman,2015-07-01,7.42,['Documentary'],0.0,13.0,en,6 days,Sommersemester 15,Tuesday,2015-07-07,51
39,Der wundersame Katzenfisch,The Amazing Catfish,2013-08-10,6.5,"['Comedy', 'Drama']",1300000.0,87.0,es,697 days,Sommersemester 15,Wednesday,2015-07-08,3
40,St. Vincent,St. Vincent,2014-10-09,7.105,['Comedy'],13000000.0,102.0,en,278 days,Sommersemester 15,Tuesday,2015-07-14,11
41,Der kleine Horrorladen,Little Shop of Horrors,1986-12-19,6.9,"['Horror', 'Comedy']",25000000.0,94.0,en,7068 days,Sommersemester 06,Wednesday,2006-04-26,46
42,Shopgirl,Shopgirl,2005-10-21,5.749,"['Comedy', 'Drama', 'Romance']",10284523.0,104.0,en,194 days,Sommersemester 06,Wednesday,2006-05-03,26
43,Spartacus,Spartacus,1960-10-13,7.6,"['History', 'War', 'Drama', 'Adventure']",12000000.0,197.0,en,16644 days,Sommersemester 06,Tuesday,2006-05-09,9
44,Mongolian Ping Pong,Mongolian Ping Pong,2005-06-11,6.88,"['Drama', 'Comedy']",0.0,102.0,zh,333 days,Sommersemester 06,Wednesday,2006-05-10,39
45,Dear Wendy,Dear Wendy,2005-02-04,5.8,"['Comedy', 'Crime', 'Drama', 'Romance']",0.0,105.0,en,467 days,Sommersemester 06,Wednesday,2006-05-17,46
46,Paradise Now*,Paradise Now,2005-09-07,6.933,"['Thriller', 'Crime', 'Drama']",2000000.0,90.0,en,258 days,Sommersemester 06,Tuesday,2006-05-23,15
47,Der Löwe im Winter,The Lion in Winter,2003-12-26,6.1,"['Drama', 'History', 'TV Movie', 'Romance']",0.0,167.0,en,886 days,Sommersemester 06,Tuesday,2006-05-30,6
48,Die Stadt der verlorenen Kinder,The City of Lost Children,1995-05-17,7.3,"['Fantasy', 'Science Fiction', 'Adventure']",18000000.0,108.0,fr,4032 days,Sommersemester 06,Wednesday,2006-05-31,13
49,Casablanca,Casablanca,1943-01-15,8.16,"['Drama', 'Romance']",878000.0,102.0,en,23161 days,Sommersemester 06,Wednesday,2006-06-14,16
50,Ray,Ray,2004-10-29,7.447,"['Drama', 'Music']",40000000.0,152.0,en,600 days,Sommersemester 06,Wednesday,2006-06-21,16
51,Die Tiefseetaucher,The Life Aquatic with Steve Zissou,2004-12-10,7.097,"['Adventure', 'Comedy', 'Drama']",50000000.0,119.0,en,564 days,Sommersemester 06,Tuesday,2006-06-27,19
52,Aaltra,Aaltra,2004-06-23,6.3,"['Comedy', 'Drama']",0.0,92.0,en,735 days,Sommersemester 06,Wednesday,2006-06-28,45
53,Aimée & Jaguar,Aimée & Jaguar,1999-02-11,6.8,"['Drama', 'History', 'Romance']",0.0,125.0,de,2700 days,Sommersemester 06,Tuesday,2006-07-04,5
54,Dr. Seltsam,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.122,"['Comedy', 'War']",1800000.0,95.0,en,15498 days,Sommersemester 06,Wednesday,2006-07-05,25
55,Thirteen Days,Thirteen Days,2000-12-25,6.993,"['History', 'Thriller']",80000000.0,145.0,en,2024 days,Sommersemester 06,Tuesday,2006-07-11,20
56,Populärmusik aus Vittula,Popular Music,2004-10-01,6.373,"['Comedy', 'Drama']",2224000.0,105.0,sv,649 days,Sommersemester 06,Wednesday,2006-07-12,45
57,Transamerica,Transamerica,2005-02-14,7.036,"['Drama', 'Adventure', 'Comedy']",1000000.0,103.0,en,519 days,Sommersemester 06,Tuesday,2006-07-18,61
58,Swimming Pool,Swimming Pool,2003-05-21,6.505,"['Crime', 'Thriller']",7800000.0,102.0,en,1155 days,Sommersemester 06,Wednesday,2006-07-19,22
59,Chihiros Reise ins Zauberland,Spirited Away,2001-07-20,8.5,"['Animation', 'Family', 'Fantasy']",19000000.0,125.0,ja,1832 days,Sommersemester 06,Wednesday,2006-07-26,17
60,No Place on Earth,No Place on Earth,2012-09-10,6.7,"['Documentary', 'War']",0.0,81.0,en,589 days,Sommersemester 14,Tuesday,2014-04-22,7
61,Into the White,Into the White,2012-03-09,6.9,"['War', 'Action', 'Drama']",0.0,104.0,no,775 days,Sommersemester 14,Wednesday,2014-04-23,1
62,Gravity,Gravity,2013-10-03,7.164,"['Science Fiction', 'Thriller', 'Drama']",105000000.0,91.0,en,208 days,Sommersemester 14,Tuesday,2014-04-29,44
63,RED 2,RED 2,2013-07-18,6.524,"['Action', 'Comedy', 'Crime', 'Thriller']",84000000.0,116.0,en,292 days,Sommersemester 14,Tuesday,2014-05-06,9
64,Jung und Schön,Young & Beautiful,2013-08-21,6.471,['Drama'],4645437.0,95.0,fr,259 days,Sommersemester 14,Wednesday,2014-05-07,21
65,Alois Nebel,Alois Nebel,2011-09-04,6.8,"['Animation', 'Drama']",0.0,84.0,cs,982 days,Sommersemester 14,Tuesday,2014-05-13,0
66,12 Years a slave,12 Years a Slave,2013-10-18,7.943,"['Drama', 'History']",20000000.0,134.0,en,214 days,Sommersemester 14,Tuesday,2014-05-20,115
67,The Bling Ring,The Bling Ring,2013-06-12,5.416,"['Drama', 'Crime']",15000000.0,90.0,en,343 days,Sommersemester 14,Wednesday,2014-05-21,37
68,Blue Jasmin,Blue Jasmine,2013-08-01,6.997,['Drama'],18000000.0,99.0,en,299 days,Sommersemester 14,Tuesday,2014-05-27,47
69,Inside Llewyn Davis,Inside Llewyn Davis,2013-10-18,7.196,"['Drama', 'Music']",11000000.0,104.0,en,222 days,Sommersemester 14,Wednesday,2014-05-28,15
70,Metropia,Metropia,2009-10-21,6.0,"['Animation', 'Drama', 'Science Fiction', 'Thriller']",5060730.0,86.0,en,1686 days,Sommersemester 14,Tuesday,2014-06-03,12
71,Fack ju Göhte,Suck Me Shakespeer,2013-11-07,7.02,['Comedy'],5000000.0,119.0,de,209 days,Sommersemester 14,Wednesday,2014-06-04,226
72,Antboy,Antboy,2013-09-07,5.6,"['Comedy', 'Adventure', 'Family']",0.0,77.0,da,283 days,Sommersemester 14,Tuesday,2014-06-17,2
73,Der Schaum der Tage,Mood Indigo,2013-01-10,6.155,"['Drama', 'Fantasy']",16040770.0,130.0,fr,530 days,Sommersemester 14,Tuesday,2014-06-24,10
74,Mohnblumenberg,From Up on Poppy Hill,2011-07-16,7.533,"['Animation', 'Drama']",22000000.0,91.0,ja,1081 days,Sommersemester 14,Tuesday,2014-07-01,32
75,Kill your Darlings,Kill Your Darlings,2013-06-10,7.093,"['Drama', 'Romance', 'Thriller']",5600000.0,104.0,en,387 days,Sommersemester 14,Wednesday,2014-07-02,9
76,Alphabet,Alphabet,2013-10-31,7.0,['Documentary'],0.0,113.0,de,250 days,Sommersemester 14,Tuesday,2014-07-08,18
77,Renoir,Renoir,2012-07-02,6.3,"['Drama', 'Romance']",0.0,111.0,fr,737 days,Sommersemester 14,Wednesday,2014-07-09,5
78,Blau ist eine warme Farbe,Blue Is the Warmest Color,2013-10-09,7.088,"['Romance', 'Drama']",4300000.0,180.0,fr,280 days,Sommersemester 14,Wednesday,2014-07-16,24
79,Rocketman,Rocketman,2019-05-17,7.325,"['Music', 'Drama']",40000000.0,121.0,en,165 days,Wintersemester 1920,Tuesday,2019-10-29,93
80,Absolute Giganten,Gigantic,1999-09-30,7.7,"['Drama', 'Comedy']",0.0,80.0,de,7335 days,Wintersemester 1920,Wednesday,2019-10-30,7
81,Tanz der Teufel 2,Evil Dead II,1987-03-13,7.548,"['Horror', 'Comedy', 'Fantasy']",3500000.0,84.0,en,11920 days,Wintersemester 1920,Thursday,2019-10-31,52
82,Meisterdetektiv Pikachu,Pokémon Detective Pikachu,2019-05-03,6.936,"['Action', 'Adventure', 'Fantasy']",150000000.0,105.0,en,186 days,Wintersemester 1920,Tuesday,2019-11-05,93
83,Chris the Swiss,Chris the Swiss,2018-10-03,6.88,"['Animation', 'Documentary']",0.0,90.0,de,399 days,Wintersemester 1920,Wednesday,2019-11-06,7
84,The Villainess,The Villainess,2017-06-08,6.869,"['Action', 'Crime', 'Drama', 'Thriller']",125000.0,129.0,ko,882 days,Wintersemester 1920,Thursday,2019-11-07,21
85,One Cut of the Dead,One Cut of the Dead,2017-11-04,7.62,"['Comedy', 'Horror']",52406.0,96.0,ja,740 days,Wintersemester 1920,Thursday,2019-11-14,40
86,The Hate U Give,The Hate U Give,2018-10-19,8.135,"['Crime', 'Drama']",23000000.0,133.0,en,396 days,Wintersemester 1920,Tuesday,2019-11-19,86
87,Ghost in the Shell,Ghost in the Shell,1995-11-18,7.9,"['Action', 'Animation', 'Science Fiction']",3000000.0,82.0,ja,8768 days,Wintersemester 1920,Wednesday,2019-11-20,60
88,Free Solo,Free Solo,2018-09-28,7.912,"['Documentary', 'Adventure']",0.0,100.0,en,419 days,Wintersemester 1920,Thursday,2019-11-21,54
89,Lord of the Toys,Lord of the Toys,2019-05-23,7.02,"['Documentary', 'Drama']",0.0,95.0,de,187 days,Wintersemester 1920,Tuesday,2019-11-26,85
90,Der schwarze Engel,The Black Angel,1974-05-07,6.96,['Drama'],0.0,72.0,de,16640 days,Wintersemester 1920,Wednesday,2019-11-27,5
91,Five Fingers for Marseilles,Five Fingers for Marseilles,2018-04-06,5.6,"['Western', 'Drama', 'Thriller']",1000000.0,121.0,en,601 days,Wintersemester 1920,Thursday,2019-11-28,9
92,More than Honey,More Than Honey,2012-08-11,7.2,['Documentary'],0.0,90.0,de,2670 days,Wintersemester 1920,Tuesday,2019-12-03,31
93,Das schönste Mädchen der Welt,The Most Beautiful Girl in the World,2018-09-06,7.4,"['Comedy', 'Romance', 'Drama', 'Music']",0.0,102.0,de,455 days,Wintersemester 1920,Thursday,2019-12-05,14
94,The Broken Circle,The Broken Circle Breakdown,2012-10-09,7.7,['Drama'],0.0,112.0,nl,2618 days,Wintersemester 1920,Tuesday,2019-12-10,13
95,They Shall Not Grow Old,They Shall Not Grow Old,2018-11-09,7.8,"['Documentary', 'History', 'War']",0.0,99.0,en,397 days,Wintersemester 1920,Wednesday,2019-12-11,56
96,Mr. Nobody,Mr. Nobody,2009-11-06,7.821,"['Science Fiction', 'Drama', 'Romance']",47000000.0,141.0,en,3693 days,Wintersemester 1920,Tuesday,2019-12-17,20
97,Boy and the World,Boy & the World,2014-01-17,7.266,"['Animation', 'Adventure', 'Family']",0.0,80.0,pt,2161 days,Wintersemester 1920,Wednesday,2019-12-18,9
98,(500) Days of Summer,(500) Days of Summer,2009-07-17,7.282,"['Comedy', 'Drama', 'Romance']",7500000.0,95.0,en,270 days,Sommersemester 10,Tuesday,2010-04-13,75
99,Das weiße Band,The White Ribbon,2009-09-24,7.5,"['Drama', 'Mystery']",21555450.0,144.0,de,202 days,Sommersemester 10,Wednesday,2010-04-14,87
100,Louise Hires A Contract Killer,Louise-Michel,2008-09-23,6.2,['Comedy'],0.0,94.0,fr,575 days,Sommersemester 10,Wednesday,2010-04-21,51
101,Let's Make Money,Let's Make Money,2008-10-30,7.5,['Documentary'],0.0,110.0,en,544 days,Sommersemester 10,Tuesday,2010-04-27,73
102,Stille Hochzeit - Zum Teufel mit Stalin!,Silent Wedding,2008-11-21,7.2,"['Comedy', 'Drama', 'History']",0.0,87.0,ro,529 days,Sommersemester 10,Tuesday,2010-05-04,34
103,It Might Get Loud,It Might Get Loud,2008-09-05,7.152,"['Documentary', 'Music']",0.0,97.0,en,607 days,Sommersemester 10,Wednesday,2010-05-05,48
104,Love Exposure,Love Exposure,2009-01-31,7.959,"['Action', 'Comedy', 'Drama', 'Romance']",0.0,237.0,ja,466 days,Sommersemester 10,Wednesday,2010-05-12,36
105,Big Fish *,Big Fish,2003-12-25,7.758,"['Adventure', 'Fantasy', 'Drama']",70000000.0,125.0,en,2337 days,Sommersemester 10,Wednesday,2010-05-19,67
106,Verfolgt,Punish Me,2006-08-06,4.8,['Drama'],0.0,87.0,de,1395 days,Sommersemester 10,Tuesday,2010-06-01,15
107,"Männer, die auf Ziegen starren",The Men Who Stare at Goats,2009-10-17,5.983,"['Comedy', 'War']",24000000.0,94.0,en,228 days,Sommersemester 10,Wednesday,2010-06-02,129
108,Nord,North,2009-02-06,6.5,"['Comedy', 'Drama']",0.0,78.0,no,488 days,Sommersemester 10,Wednesday,2010-06-09,14
109,The Imaginarium Of Doctor Parnassus *,The Imaginarium of Doctor Parnassus,2009-10-01,6.381,"['Adventure', 'Fantasy', 'Mystery']",30000000.0,123.0,en,258 days,Sommersemester 10,Wednesday,2010-06-16,110
110,The Art Of Being Straight,The Art of Being Straight,2009-06-05,4.3,"['Drama', 'Comedy', 'Romance']",0.0,68.0,en,382 days,Sommersemester 10,Tuesday,2010-06-22,22
111,Tulpan,Tulpan,2009-03-04,6.3,"['Drama', 'Comedy', 'Romance']",0.0,100.0,kk,476 days,Sommersemester 10,Wednesday,2010-06-23,2
112,Mr. Magoriums Wunderladen *,Mr. Magorium's Wonder Emporium,2007-11-14,6.217,"['Family', 'Fantasy', 'Comedy']",65000000.0,93.0,en,965 days,Sommersemester 10,Tuesday,2010-07-06,14
113,The Age Of Stupid,The Age of Stupid,2009-09-21,6.4,"['War', 'Documentary', 'History']",0.0,92.0,en,296 days,Sommersemester 10,Wednesday,2010-07-14,21
114,The Batman,The Batman,2022-03-01,7.7,"['Crime', 'Mystery', 'Thriller']",185000000.0,177.0,en,238 days,Wintersemester 2223,Tuesday,2022-10-25,21
115,The Innocents,The Innocents,1961-12-15,7.453,"['Horror', 'Mystery']",0.0,100.0,en,22230 days,Wintersemester 2223,Wednesday,2022-10-26,14
116,Revolution of Our Times,Revolution of Our Times,2021-11-22,8.3,['Documentary'],0.0,152.0,cn,345 days,Wintersemester 2223,Wednesday,2022-11-02,30
117,The Worst Person in the World,The Worst Person in the World,2021-10-13,7.527,"['Drama', 'Romance', 'Comedy']",5000000.0,128.0,no,391 days,Wintersemester 2223,Tuesday,2022-11-08,16
118,Elvis,Elvis,2022-06-22,7.54,"['Drama', 'Music', 'History']",85000000.0,159.0,en,146 days,Wintersemester 2223,Tuesday,2022-11-15,34
119,Moulin Rouge!,Moulin Rouge!,2001-05-24,7.568,"['Drama', 'Romance', 'Music']",52500000.0,128.0,en,7846 days,Wintersemester 2223,Wednesday,2022-11-16,39
120,C'mon C'mon,C'mon C'mon,2021-11-19,7.253,['Drama'],8300000.0,109.0,en,369 days,Wintersemester 2223,Wednesday,2022-11-23,8
121,The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,2022-04-20,6.767,"['Action', 'Comedy', 'Crime']",30000000.0,107.0,en,223 days,Wintersemester 2223,Tuesday,2022-11-29,7
122,Dogville,Dogville,2003-05-21,7.771,"['Crime', 'Drama', 'Thriller']",10000000.0,178.0,en,7133 days,Wintersemester 2223,Wednesday,2022-11-30,7
123,Das Ereignis,Cemetery Junction,2010-04-14,6.5,"['Drama', 'Comedy']",0.0,94.0,en,4619 days,Wintersemester 2223,Tuesday,2022-12-06,6
124,Moneyboys,Moneyboys,2021-11-19,6.6,['Drama'],0.0,116.0,zh,383 days,Wintersemester 2223,Wednesday,2022-12-07,3
125,The Electrical Life of Louis Wain,The Electrical Life of Louis Wain,2021-10-21,6.929,"['Drama', 'History', 'Comedy']",0.0,111.0,en,418 days,Wintersemester 2223,Tuesday,2022-12-13,10
126,"Das Licht, aus dem die Träume sind",Last Film Show,2022-01-06,7.3,['Drama'],2000000.0,110.0,gu,342 days,Wintersemester 2223,Wednesday,2022-12-14,4
127,Everything Everywhere All At Once,Everything Everywhere All at Once,2022-03-24,7.8,"['Action', 'Adventure', 'Science Fiction']",25000000.0,140.0,en,292 days,Wintersemester 2223,Tuesday,2023-01-10,68
128,Rabiye Kurnaz vs. George W. Bush,Rabiye Kurnaz vs. George W. Bush,2022-04-28,6.348,"['Drama', 'History']",0.0,119.0,de,264 days,Wintersemester 2223,Tuesday,2023-01-17,3
129,Der beste Film aller Zeiten,Official Competition,2021-09-04,6.7,"['Comedy', 'Drama']",0.0,114.0,es,501 days,Wintersemester 2223,Wednesday,2023-01-18,1
130,Vertigo,Vertigo,1958-05-28,8.168,"['Mystery', 'Romance', 'Thriller']",2479000.0,129.0,en,23612 days,Wintersemester 2223,Thursday,2023-01-19,10
131,Tomorrow - Die Welt ist voller Lösungen,Tomorrow,2015-11-15,7.8,['Documentary'],0.0,118.0,fr,2627 days,Wintersemester 2223,Tuesday,2023-01-24,9
132,Top Gun: Maverick,Top Gun: Maverick,2022-05-21,8.221,"['Action', 'Drama']",170000000.0,131.0,en,250 days,Wintersemester 2223,Thursday,2023-01-26,2
133,Wo in Paris die Sonne aufgeht,"Paris, 13th District",2021-11-03,6.9,"['Drama', 'Romance']",0.0,106.0,fr,454 days,Wintersemester 2223,Tuesday,2023-01-31,4
134,Triangle of Sadness,Triangle of Sadness,2022-09-18,7.1,"['Comedy', 'Drama']",15600000.0,147.0,en,136 days,Wintersemester 2223,Wednesday,2023-02-01,30
135,Vortex,Vortex,2022-01-27,7.154,['Drama'],0.0,142.0,fr,376 days,Wintersemester 2223,Tuesday,2023-02-07,2
136,Men,Men,2022-05-20,6.141,"['Horror', 'Thriller', 'Fantasy']",6500000.0,100.0,en,264 days,Wintersemester 2223,Wednesday,2023-02-08,13
137,Soul Kitchen,Soul Kitchen,2009-09-09,6.882,"['Drama', 'Comedy']",4000000.0,99.0,de,406 days,Wintersemester 1011,Wednesday,2010-10-20,95
138,Up in the Air,Up in the Air,2009-12-04,6.867,"['Drama', 'Romance']",25000000.0,110.0,en,326 days,Wintersemester 1011,Tuesday,2010-10-26,61
139,Vincent will meer,Vincent Wants to Sea,2010-04-21,6.757,['Drama'],0.0,96.0,de,195 days,Wintersemester 1011,Tuesday,2010-11-02,203
140,"Marcello, Marcello",Marcello Mastroianni: I Remember,1997-09-10,7.26,['Documentary'],0.0,198.0,it,4802 days,Wintersemester 1011,Wednesday,2010-11-03,27
141,Versailles,Versailles,2008-05-19,6.2,['Drama'],0.0,113.0,fr,904 days,Wintersemester 1011,Tuesday,2010-11-09,50
142,Shutter Island,Shutter Island,2010-02-14,8.203,"['Drama', 'Thriller', 'Mystery']",80000000.0,138.0,en,269 days,Wintersemester 1011,Wednesday,2010-11-10,247
143,David wants to fly,David Wants to Fly,2010-05-06,6.8,['Documentary'],0.0,96.0,en,194 days,Wintersemester 1011,Tuesday,2010-11-16,21
144,Moon,Moon,2009-06-12,7.568,"['Science Fiction', 'Drama']",5000000.0,97.0,en,523 days,Wintersemester 1011,Wednesday,2010-11-17,87
145,La Nana - Die Perle,The Maid,2009-08-13,6.7,"['Drama', 'Comedy']",0.0,97.0,es,474 days,Wintersemester 1011,Tuesday,2010-11-30,29
146,Pee-wee's Big Adventure,Pee-wee's Big Adventure,1985-07-26,6.4,"['Comedy', 'Adventure']",6000000.0,91.0,en,9259 days,Wintersemester 1011,Wednesday,2010-12-01,13
147,Gordos,Fat People,2009-09-11,6.1,"['Drama', 'Comedy']",0.0,114.0,es,452 days,Wintersemester 1011,Tuesday,2010-12-07,31
148,A Single Man,A Single Man,2009-12-11,7.291,"['Drama', 'Romance']",7000000.0,97.0,en,368 days,Wintersemester 1011,Tuesday,2010-12-14,48
149,"Renn, wenn Du kannst",Run If You Can,2010-07-28,6.824,['Drama'],0.0,112.0,de,140 days,Wintersemester 1011,Wednesday,2010-12-15,48
150,Die Beschissenheit der Dinge,The Misfortunates,2009-10-07,7.21,"['Drama', 'Comedy']",0.0,108.0,nl,462 days,Wintersemester 1011,Wednesday,2011-01-12,104
151,The Messenger - Die letzte Nachricht,The Messenger,2009-11-13,6.73,"['Drama', 'Romance']",6500000.0,113.0,en,431 days,Wintersemester 1011,Tuesday,2011-01-18,35
152,Die Fremde,When We Leave,2010-03-11,6.9,"['Drama', 'Family']",0.0,119.0,de,320 days,Wintersemester 1011,Tuesday,2011-01-25,22
