,OG_Title,TMDB_Title,Release_Date,Rating,Genre,Budget,Runtime,Original_Language,MovieAge,Semester,Weekday,Date,Attendance
44,Gesang der Flusskrebse,Where the Crawdads Sing,2022-07-14,7.544,"['Drama', 'Mystery', 'Romance']",24000000.0,126.0,en,-3738 days,Sommersemester 12,Thursday,2012-04-19,11
45,Animals,Animals,,7.20252,"['Crime', 'Thriller']",0.0,0.0,en,,Sommersemester 23,Wednesday,2023-06-07,1
46,Sara Mardini – Gegen den Strom,Long Distance Swimmer: Sara Mardini,2024-03-23,7.20252,['Documentary'],0.0,88.0,en,-268 days,Sommersemester 23,Thursday,2023-06-29,10
47,Music & Lyrics,Music is on the Menu: Melim,2023-09-22,6.840523809523809,"['Music', 'Documentary']",0.0,27.0,pt,-5819 days,Wintersemester 0708,Wednesday,2007-10-17,48
48,Bahn unterm Hammer + The Navigators,,,6.840523809523809,,,,,,Wintersemester 0809,Thursday,2008-11-06,10
49,Deep Frozen,,,6.840523809523809,,,,,,Wintersemester 0708,Tuesday,2007-11-13,17
50,Dealer,Dealer,2021-10-14,5.3,['Drama'],0.0,100.0,nl,-5021 days,Wintersemester 0708,Tuesday,2008-01-15,22
51,Silver Shoes,,,6.886279999999999,,,,,,Wintersemester 1617,Tuesday,2016-11-29,68
52,Suicide Squad,Suicide Squad,2016-08-03,5.912,"['Action', 'Adventure', 'Fantasy']",175000000.0,122.0,en,-206 days,Wintersemester 1516,Sunday,2016-01-10,105
53,Toni Erdmann,Toni Erdmann,2016-07-14,6.991,"['Comedy', 'Drama']",10000000.0,162.0,de,-185 days,Wintersemester 1516,Monday,2016-01-11,87
54,Captain Fantastic,Captain Fantastic,2016-07-08,7.913,"['Adventure', 'Drama']",5000000.0,118.0,en,-173 days,Wintersemester 1516,Sunday,2016-01-17,119
55,Lobster,Lobster,,6.86,['Comedy'],1500.0,6.0,en,,Wintersemester 1516,Sunday,2016-01-31,67
56,Wiener Dog,Wiener-Dog,2016-06-24,5.633,"['Comedy', 'Drama']",0.0,88.0,en,-137 days,Wintersemester 1516,Monday,2016-02-08,13
57,Mapplethorpe,Mapplethorpe,2019-03-01,6.6,"['Drama', 'History']",0.0,102.0,en,-772 days,Wintersemester 1617,Wednesday,2017-01-18,6
58,Zwischen den Stühlen,Zwischen den Stühlen,2017-05-18,7.387933333333334,,0.0,101.0,de,252 days,Wintersemester 1718,Thursday,2018-01-25,75
59,Der Heiratsvermittler – Nesvatbov,,,6.954999999999999,,,,,,Wintersemester 1213,Tuesday,2012-11-20,5
60,Hinter der Tür,Hinter der Tür,,6.954999999999999,['Drama'],0.0,0.0,de,,Wintersemester 1213,Wednesday,2012-11-21,23
61,…und es kommt noch schlimmer - A bude hur,,,6.954999999999999,,,,,,Wintersemester 1213,Tuesday,2012-12-04,10
62,Ufo in your eyes,,,6.954999999999999,,,,,,Wintersemester 1213,Tuesday,2013-01-29,8
63,Wunschfilm,,,6.954999999999999,,,,,,Wintersemester 1213,Wednesday,2013-02-06,23
64,Wildes Herz,Wild Heart,2018-04-12,7.02,"['Music', 'Documentary']",0.0,88.0,de,-155 days,Wintersemester 1718,Wednesday,2017-11-08,67
65,The Cleaners,The Cleaners,2022-07-20,7.235499999999999,,0.0,105.0,fr,-1345 days,Wintersemester 1819,Tuesday,2018-11-13,47
66,Einer flog übers Kuckucksnest,,,7.235499999999999,,,,,,Wintersemester 1819,Thursday,2018-12-13,31
67,Bad Banks ½,,,7.235499999999999,,,,,,Wintersemester 1718,Tuesday,2018-01-09,5
68,Bad Banke 2/2,,,7.235499999999999,,,,,,Wintersemester 1718,Wednesday,2018-01-10,3
69,Christopher Robin,Christopher Robin,2018-08-01,7.319,"['Adventure', 'Comedy', 'Family', 'Fantasy']",75000000.0,104.0,en,-198 days,Wintersemester 1718,Monday,2018-01-15,44
70,Dora oder die sexuellen Neuroen,,,7.235499999999999,,,,,,Wintersemester 1718,Tuesday,2018-01-16,15
71,Tully,Tully,2018-05-04,6.783,"['Comedy', 'Drama']",0.0,96.0,en,-102 days,Wintersemester 1718,Monday,2018-01-22,10
72,"Utoya, 22. Juli",Utøya: July 22,2018-03-09,7.2,"['History', 'Drama']",688960.0,92.0,no,-32 days,Wintersemester 1718,Monday,2018-02-05,32
73,Under the Silver Lake,Under the Silver Lake,2018-06-21,6.4,"['Crime', 'Drama', 'Mystery']",8500000.0,139.0,en,-135 days,Wintersemester 1718,Tuesday,2018-02-06,16
74,Teheren Tabu,,,7.263384615384617,,,,,,Sommersemester 18,Tuesday,2018-04-17,17
75,Blackploitation DF,,,7.263384615384617,,,,,,Sommersemester 18,Tuesday,2018-06-12,19
76,Midnights Movies  + TRHPS,,,6.8052222222222225,,,,,,Sommersemester 08,Wednesday,2008-07-02,26
77,Borat,Borat Subsequent Moviefilm,2020-10-23,6.466,['Comedy'],0.0,96.0,en,-4944 days,Sommersemester 07,Wednesday,2007-04-11,68
78,Das Parfum,Das Parfüm: Die wahre Geschichte,2014-06-14,6.875055555555556,['Documentary'],0.0,0.0,de,-2615 days,Sommersemester 07,Tuesday,2007-04-17,112
79,Kukushka,Strocha: Trinity Rituals in Kukushka Village of Kochyovsky District,2023-01-01,6.875055555555556,['Documentary'],0.0,45.0,ru,-5717 days,Sommersemester 07,Tuesday,2007-05-08,64
80,Der die Tollkirsche ausgräbt & Nach 5 im Urwald,Der die Tollkirsche ausgräbt,2006-02-13,6.875055555555556,,0.0,40.0,de,457 days,Sommersemester 07,Wednesday,2007-05-16,27
81,Auberge Espagnole 1+2,,,6.875055555555556,,,,,,Sommersemester 07,Tuesday,2007-06-19,127
82,Yossi & Jagger,Yossi,2012-05-16,6.9,"['Drama', 'Romance']",500000.0,84.0,he,-1771 days,Sommersemester 07,Wednesday,2007-07-11,20
83,Jugend ohne Jugend,Godless Youth,2017-08-31,6.182,"['Science Fiction', 'Thriller', 'Drama']",0.0,114.0,de,-3053 days,Sommersemester 09,Wednesday,2009-04-22,17
84,Frauenreferat: Das Fremde in Mir,,,6.886928571428571,,,,,,Sommersemester 09,Tuesday,2009-04-28,43
85,Schwulenreferat: The Times of Harvey Milk,,,6.886928571428571,,,,,,Sommersemester 09,Tuesday,2009-05-05,34
86,Israelwoche: Alles für meinen Vater,,,6.886928571428571,,,,,,Sommersemester 09,Tuesday,2009-05-12,37
87,Israelwoche: Waltz with Bashir,,,6.886928571428571,,,,,,Sommersemester 09,Wednesday,2009-05-13,87
88,Afrika Fokus: Tsotsi,,,6.886928571428571,,,,,,Sommersemester 09,Tuesday,2009-05-26,50
89,Polarkreis: So finster die Nacht,,,6.886928571428571,,,,,,Sommersemester 09,Tuesday,2009-06-23,40
90,Polarkreis: Die Kunst des negativen Denkens,,,6.886928571428571,,,,,,Sommersemester 09,Wednesday,2009-07-01,51
91,Künstlerwoche & Polarkr.: Drawing Restraint 9,,,6.886928571428571,,,,,,Sommersemester 09,Wednesday,2009-07-08,13
92,Polarkreis: Anderland,,,6.886928571428571,,,,,,Sommersemester 09,Wednesday,2009-07-15,12
93,Polarkreis: Into the Wild,,,6.886928571428571,,,,,,Sommersemester 09,Wednesday,2009-07-22,42
94,The Voices  durften wir umsonst zeigen,,,7.090473684210528,,,,,,Wintersemester 1516,Tuesday,2016-02-02,19
95,Deutsche Kurzfilmpreis-Auswahl,,,7.174263157894737,,,,,,Sommersemester 13,Wednesday,2013-04-17,10
96,Hanna Arendt,,,7.174263157894737,,,,,,Sommersemester 13,Tuesday,2013-05-14,140
97,Ich - Einfach unverbesserlich,Ich einfach unverbesserlich - 6 Mini-Movies Collection,2014-10-16,6.7688235294117645,,0.0,0.0,en,-1100 days,Wintersemester 1112,Wednesday,2011-10-12,81
98,Burke und Hare,,,6.7688235294117645,,,,,,Wintersemester 1112,Tuesday,2011-12-06,32
99,Roller Girl,Roller Girl,2020-04-23,6.7688235294117645,['Horror'],0.0,3.0,en,-3054 days,Wintersemester 1112,Tuesday,2011-12-13,19
100,Wir schaffen das schon,Das schaffen wir schon,2017-09-07,6.7688235294117645,"['Comedy', 'Thriller']",0.0,0.0,de,-2046 days,Wintersemester 1112,Tuesday,2012-01-31,12
101,Schau mich an!,Don't Look at Me That Way,2016-06-16,6.62,['Drama'],27500.0,88.0,de,-4054 days,Sommersemester 05,Wednesday,2005-05-11,38
102,Mir zeynen do!,,,6.825947368421052,,,,,,Sommersemester 05,Tuesday,2005-05-24,20
103,Coffee & Cigarettes,The Coffee Table,2023-11-30,6.75,"['Horror', 'Thriller', 'Comedy']",0.0,91.0,es,-6742 days,Sommersemester 05,Wednesday,2005-06-15,140
104,Zusammen,Alle zusammen - Eine Stadt steigt auf - Die Doku,2023-05-25,6.825947368421052,['Documentary'],0.0,0.0,de,-6545 days,Sommersemester 05,Thursday,2005-06-23,15
105,Das Fest,Impreza,2017-10-01,6.825947368421052,['Documentary'],0.0,75.0,pl,-4482 days,Sommersemester 05,Friday,2005-06-24,9
106,Home,Home,2015-03-18,6.794,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",135000000.0,94.0,en,-1954 days,Wintersemester 0910,Tuesday,2009-11-10,31
107,Sens Interdits,Sens interdits,2009-01-20,6.919199999999999,,0.0,90.0,fr,308 days,Wintersemester 0910,Tuesday,2009-11-24,14
108,The Lion King,The Lion King,2019-07-12,7.115,"['Adventure', 'Drama', 'Family', 'Animation']",260000000.0,118.0,en,-3495 days,Wintersemester 0910,Wednesday,2009-12-16,118
109,Radio Rock Revolution,Something In The Air: A Rock Radio Revolution,,6.919199999999999,['Documentary'],0.0,84.0,en,,Wintersemester 0910,Wednesday,2010-01-13,65
110,Nacht der Helden: Flash Gordon / Batman hält …,,,6.919199999999999,,,,,,Wintersemester 0910,Wednesday,2010-02-10,56
111,Klassiker Sneak,,,6.9416551724137925,,,,,,Sommersemester 22,Thursday,2022-04-21,16
112,Der Rausch,Anselm,2023-10-12,7.08,['Documentary'],0.0,93.0,de,-531 days,Sommersemester 22,Friday,2022-04-29,3
113,The Suicide Squade,Suicide Squad,1991-01-01,6.9416551724137925,,0.0,0.0,en,11442 days,Sommersemester 22,Saturday,2022-04-30,12
114,Klassiker Sneak,,,6.9416551724137925,,,,,,Sommersemester 22,Wednesday,2022-06-01,34
115,Klassiker Sneak,,,6.9416551724137925,,,,,,Sommersemester 22,Thursday,2022-07-07,7
116,Pettit Maman,,,6.9416551724137925,,,,,,Sommersemester 22,Wednesday,2022-07-13,5
