Date,Titel,Attendance
2014-04-22,No Place on Earth,7
2014-04-23,Into the White,1
2014-04-29,Gravity,44
2014-04-20,Westerland,0
2014-05-06,RED 2,9
2014-05-07,Jung und Schön,21
2014-05-13,Alois Nebel,0
2014-05-14,Art War,6
2014-05-20,12 Years a slave,115
2014-05-21,The Bling Ring,37
2014-05-27,Blue Jasmin,47
2014-05-28,Inside Llewyn Davis,15
2014-06-03,Metropia,12
2014-06-04,Fack ju Göhte,226
2014-06-17,Antboy,2
2014-06-18,Aladdin,32
2014-06-24,Der Schaum der Tage,10
2014-06-25,Lunchbox,18
2014-07-01,Mohnblumenberg,32
2014-07-02,Kill your Darlings,9
2014-07-08,Alphabet,18
2014-07-09,Renoir,5
2014-07-15,Und morgen Mittag bin ich tot,29
2014-07-16,Blau ist eine warme Farbe,24
