Date,Titel,Attendance
2008-04-02,Free Rainer,25
2008-04-08,Hallam Foe,39
2008-04-09,Abbitte,97
2008-04-15,Nichts als Gespenster,39
2008-04-16,Zusammen ist man weniger allein,145
2008-04-22,Top Secret,22
2008-04-23,Hurlyburly,47
2008-04-29,Gosford Park,30
2008-04-30,Robert Altmans Last Radio Show,8
2008-05-06,Auf der anderen Seite,109
2008-05-07,2:37,16
2008-05-20,Ich kenn keinen - Allein unter Heteros,81
2008-05-21,Zugvögel - Einmal nach Inari,18
2008-05-27,Persepolis,86
2008-05-28,Weißt was geil wär,28
2008-06-03,WWW-What a Wonderful World,25
2008-06-04,"I'm a cyborg, but that's ok",56
2008-06-10,Die Ermordung des Jesse …,14
2008-06-11,Don't come knocking,11
2008-06-17,ostPunk!!!,17
2008-06-18,Control,42
2008-06-24,Die Band von nebenan,28
2008-07-02,Midnights Movies + TRHPS,26
2008-07-09,Am Ende kommen Touristen,65
