Date,Titel,Attendance
2019-04-09,Bohemian Rhapsody,276
2019-04-10,Requiem for a Dream,17
2019-04-11,Zabriskie Point,3
2019-04-16,Blue My Mind,17
2019-04-17,Transit,14
2019-04-23,Dave made a Maze,19
2019-04-24,Soylent Green,34
2019-04-25,McQueen,50
2019-04-30,Why Are we Creative?,56
2019-05-02,Leave no Trace,17
2019-05-07,SpiderMan Spider Verse,96
2019-05-08,Welcome to Sodom,54
2019-05-09,American Animals,24
2019-05-14,Mutafukaz,23
2019-05-15,Kirschblüten und rote Bohnen,23
2019-05-16,Mandy,30
2019-05-21,Sneak 1,30
2019-05-22,Das wandelnde Schloss,95
2019-05-23,Mid90s,37
2019-05-27,Boys for Sale,112
2019-05-28,Styx,13
2019-05-29,K Sneak 1,28
2019-06-03,Tomorrow,12
2019-06-04,Donbass,12
2019-06-05,Astrid,52
2019-06-06,Dogman,5
2019-06-18,Love Simon,77
2019-06-19,The House that Jack Built,29
2019-06-25,Phantastische Tierwesen 2,59
2019-06-26,The End of Meat,38
2019-06-27,Glücklich wie Lazzaro,5
2019-07-02,The Favourite,38
2019-07-03,MIA,12
2019-07-04,Perfect Blue,24
2019-07-09,Beautiful Boy,29
2019-07-10,K Sneak 2,31
2019-07-11,Shoplifters,20
