Date,Titel,Attendance
2010-10-20,Soul Kitchen,95
2010-10-26,Up in the Air,61
2010-10-27,Auf der anderen Seite der Leinwand + Ferdinand der Stier,10
2010-11-02,Vincent will meer,203
2010-11-03,"Marcello, Marcello",27
2010-11-09,Versailles,50
2010-11-10,Shutter Island,247
2010-11-16,David wants to fly,21
2010-11-17,Moon,87
2010-11-23,Ganz nah bei Dir,39
2010-11-24,Die Konferenz der Tiere (1969) + Der Conny ihr Pony,22
2010-11-30,La Nana - Die Perle,29
2010-12-01,Pee-wee's Big Adventure,13
2010-12-07,Gordos,31
2010-12-08,#9 + Bob,16
2010-12-14,A Single Man,48
2010-12-15,"Renn, wenn Du kannst",48
2010-12-21,Katze im Sack,10
2010-12-22,The Jungle Book + Wallace & Gromit: Unter Schafen,37
2011-01-11,Deutsche Seelen,21
2011-01-12,Die Beschissenheit der Dinge,104
2011-01-18,The Messenger - Die letzte Nachricht,35
2011-01-19,Fantastic Mr. Fox + Ein Leben in der Schachtel,27
2011-01-25,Die Fremde,22
2011-01-26,Micmacs - Uns gehört Paris!,50
2011-02-01,14 Kilometer,19
2011-02-02,Schande,35
2011-02-08,RR - Railroad,1
2011-02-09,Crazy Heart,42
2011-02-15,Precious,76
