Date,Titel,Attendance
2023-04-18 00:00:00,Babylon,14
2012-04-19 00:00:00,Gesang der Flusskrebse,11
2023-04-25 00:00:00,The Banshees of Inisherin,26
2023-04-26 00:00:00,The Story Won’t Die,17
2023-05-02 00:00:00,Crimes of the Future,3
2023-05-03 00:00:00,Pride,36
2023-05-03 00:00:00,Das Glücksrad,4
2023-05-09 00:00:00,Alle reden übers Wetter,8
2023-05-10 00:00:00,Inception,22
2023-05-11 00:00:00,Napola,20
2023-05-16 00:00:00,Holy Spider,9
2023-05-17 00:00:00,Der Heilige Berg,11
2023-05-23 00:00:00,The Truman Show,28
2023-05-24 00:00:00,Return to Seoul,9
2023-06-06 00:00:00,Im Westen Nichts Neues,32
2023-06-07 00:00:00,Animals,1
2023-06-13 00:00:00,Der gestiefelte Kater 2,36
2023-06-14 00:00:00,Nelly & Nadine,3
2023-06-20 00:00:00,Free Guy,11
2023-06-21 00:00:00,Der Sommer mit Anais,0
2023-06-27 00:00:00,Aftersun,30
2023-06-28 00:00:00,Call Jane,6
2023-06-29 00:00:00,Sara Mardini – Gegen den Strom,10
2023-07-04 00:00:00,Decision to Leave,6
2023-07-05 00:00:00,Oskars Kleid,42
2023-07-11 00:00:00,Me Time,8
2023-07-12 00:00:00,Mad God,4
2023-07-18 00:00:00,Jurassic Park,14
2023-07-19 00:00:00,EO,10
