Date,Titel,Attendance
2022-04-05,Dune,40
2022-04-06,Berlin Alexanderplatz,0
2022-04-07,The Father,0
2022-04-12,Die nackte Kanone,7
2022-04-13,The Green Knight,2
2022-04-14,Booksmart,4
2022-04-19,Encanto,11
2022-04-20,La Casa Lobo,0
2022-04-21,Klassiker Sneak,16
2022-04-28,Titane,3
2022-04-29,Der Rausch,3
2022-04-30,The Suicide Squade,12
2022-05-03,Gefangen im Netz,12
2022-05-04,The Nightingale,3
2022-05-05,Lamb,19
2022-05-10,Pleasure,5
2022-05-11,Joker,24
2022-05-12,Benedetta,5
2022-05-17,Thelma,0
2022-05-18,Bergman Island,1
2022-05-24,Sneak,26
2022-05-25,Große Freiheit,0
2022-05-31,Annette,3
2022-06-01,Klassiker Sneak,34
2022-06-02,New Order,0
2022-06-15,Für Sama,15
2022-06-21,Psycho Goreman,7
2022-06-22,Die Unbeugsamen,14
2022-06-23,Prinzessin Mononoke,33
2022-06-28,Fabian oder der Gang vor die Hunde,5
2022-06-29,Are you lonesome tonight?,3
2022-07-05,Spider Man: No way Home,25
2022-07-06,Ruben Brandt,3
2022-07-07,Klassiker Sneak,7
2022-07-13,Pettit Maman,5
2022-07-14,Spencer,13
