Date,Titel,Attendance
2007-10-17,Music & Lyrics,48
2007-10-23,Science of Sleep,57
2007-10-24,Wer früher stirbt ist länger tot,137
2007-10-30,Blutige Erdbeeren,31
2007-10-31,Das Wilde Leben,68
2008-11-06,Bahn unterm Hammer + The Navigators,10
2008-11-07,Pans Labyrinth,165
2007-11-13,Deep Frozen,17
2007-11-14,Schnitzelparadies,59
2007-11-20,Absolute Giganten,47
2007-11-21,The Wind that shakes the Barley,74
2007-11-27,Wilbur wants to kill himself,70
2007-11-28,Taxi Driver,65
2008-12-04,Hard Pill,37
2008-12-05,Sterben für Anfänger,71
2007-12-11,Ode an die Freude,20
2007-12-12,Letters from Iwo Jima,50
2007-12-18,Nach der Hochzeit,30
2007-12-19,Zurück nach Dalarna,18
2008-01-15,Dealer,22
2008-01-16,Full Metal Village,215
2008-01-22,Das Fräulein,19
2008-01-23,Paris je t'aime,117
2008-01-29,Inland Empire,69
2008-01-30,The saddest Music in the World,26
2008-02-12,Leroy,81
2008-02-13,Last King of Scotland,72
